dataset,model,graph_seed,init_seed,lr,test_best,best_val,nde,effective_rank,rank_ratio,pairwise
PubMed,GraphSAGE,2,47,0.001,0.39936748147010803,0.3995943069458008,7.03045671867399e-18,1.0207873582839966,0.0079749012365937,1.1920928955078125e-07
PubMed,GraphSAGE,2,65,0.001,0.39936748147010803,0.3995943069458008,6.9167172469917945e-18,1.030575156211853,0.0080513684079051,1.1920928955078125e-07
PubMed,GraphSAGE,2,83,0.001,0.39936748147010803,0.3995943069458008,2.8320224573997466e-17,1.0707699060440063,0.0083653898909688,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,2,11,0.003,0.7863237261772156,0.8118661046028137,2.5772575406732283,5.568042755126953,0.0435003340244293,0.9963841438293456
PubMed,GraphSAGEPairNorm,2,29,0.003,0.7708097100257874,0.7809330224990845,2.556207783714332,5.405960559844971,0.0422340668737888,0.9944512844085692
PubMed,GraphSAGEPairNorm,2,47,0.003,0.7925293445587158,0.796653151512146,2.5186784224680627,5.051994800567627,0.0394687093794345,0.9942285418510436
PubMed,GraphSAGEPairNorm,2,65,0.003,0.7860254049301147,0.7971602082252502,2.512176694893609,6.516581058502197,0.0509107895195484,0.9980937242507936
PubMed,GraphSAGEPairNorm,2,83,0.003,0.7648427486419678,0.7814401388168335,2.6213385846765385,4.965083599090576,0.0387897156178951,0.9996304512023926
PubMed,GraphSAGE,2,11,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,2,29,0.003,0.39936748147010803,0.3995943069458008,5.754646067043156e-17,1.0387067794799805,0.0081148967146873,-1.1920928955078125e-07
PubMed,GraphSAGE,2,47,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,2,65,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0000427961349487,0.0078128343448042,1.1920928955078125e-07
PubMed,GraphSAGE,2,83,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,-1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,2,11,0.03,0.8426516652107239,0.860547661781311,2.57887419260894,5.316590785980225,0.0415358655154705,0.9956052899360656
PubMed,GraphSAGEPairNorm,2,29,0.03,0.8332239389419556,0.8539553284645081,2.5168622665305214,5.214560508728027,0.0407387539744377,0.9946187138557434
PubMed,GraphSAGEPairNorm,2,47,0.03,0.8363863825798035,0.8549695611000061,2.5366562576927363,5.1331000328063965,0.0401023440062999,0.9947656989097596
PubMed,GraphSAGEPairNorm,2,65,0.03,0.8384748101234436,0.8539553284645081,2.729596314996731,5.099599838256836,0.0398406237363815,0.9993259310722352
PubMed,GraphSAGEPairNorm,2,83,0.03,0.8428307175636292,0.8539553284645081,2.593354686152187,5.338987827301025,0.0417108424007892,0.9975433349609376
PubMed,GraphSAGE,2,11,0.03,0.39936748147010803,0.3995943069458008,1.0603684342363015e-14,2.2359097003936768,0.0174680445343256,0.0
PubMed,GraphSAGE,2,29,0.03,0.39936748147010803,0.3995943069458008,1.0259411460254013e-15,1.3914248943328855,0.0108705069869756,1.1920928955078125e-07
PubMed,GraphSAGE,2,47,0.03,0.39936748147010803,0.3995943069458008,7.996634828566234e-16,1.3121432065963743,0.0102511188015341,4.76837158203125e-07
PubMed,GraphSAGE,2,65,0.03,0.39936748147010803,0.3995943069458008,6.39921697375784e-23,1.000290870666504,0.007814772427082,0.0
PubMed,GraphSAGE,2,83,0.03,0.39936748147010803,0.3995943069458008,1.6340897037554634e-22,1.0003252029418943,0.0078150406479835,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,3,11,0.001,0.6699087023735046,0.6810344457626343,2.552955702391037,5.329758167266846,0.0416387356817722,0.9640555381774902
PubMed,GraphSAGEPairNorm,3,29,0.001,0.6711617708206177,0.6764705777168274,2.7634098013007544,5.484195709228516,0.0428452789783477,0.9453712701797484
PubMed,GraphSAGEPairNorm,3,47,0.001,0.6739662289619446,0.6825557351112366,2.3649521856600195,5.216206073760986,0.0407516099512577,0.9594644904136658
PubMed,GraphSAGEPairNorm,3,65,0.001,0.6689539551734924,0.6779918670654297,2.271711319054782,5.172373294830322,0.0404091663658618,0.9641353487968444
PubMed,GraphSAGEPairNorm,3,83,0.001,0.671281099319458,0.6815415620803833,2.381374880119913,5.106993675231934,0.0398983880877494,0.9679346680641174
PubMed,GraphSAGE,3,11,0.001,0.39936748147010803,0.3995943069458008,4.3973034056919504e-20,1.0035866498947144,0.0078405207023024,-2.384185791015625e-07
PubMed,GraphSAGE,3,29,0.001,0.39936748147010803,0.3995943069458008,7.121478440434716e-18,1.0197606086730957,0.0079668797552585,-1.1920928955078125e-07
PubMed,GraphSAGE,3,47,0.001,0.39936748147010803,0.3995943069458008,1.0838751826872179e-17,1.0599373579025269,0.0082807606086134,0.0
PubMed,GraphSAGE,3,65,0.001,0.39936748147010803,0.3995943069458008,5.1515962558567455e-18,1.015278697013855,0.0079318648204207,-1.1920928955078125e-07
PubMed,GraphSAGE,3,83,0.001,0.39936748147010803,0.3995943069458008,5.547126693214816e-17,1.1404054164886477,0.0089094173163175,0.0
PubMed,GraphSAGEPairNorm,3,11,0.003,0.7700936794281006,0.7692697644233704,2.468626051883512,4.987295627593994,0.038963247090578,0.9961732029914856
PubMed,GraphSAGEPairNorm,3,29,0.003,0.7493286728858948,0.7601419687271118,2.44309698851408,4.760179996490479,0.0371889062225818,0.984719216823578
PubMed,GraphSAGEPairNorm,3,47,0.003,0.7896055579185486,0.7920892238616943,2.457599502546131,5.536492347717285,0.0432538464665412,0.994440257549286
PubMed,GraphSAGEPairNorm,3,65,0.003,0.7598901987075806,0.7677484750747681,2.499297364030284,4.643131732940674,0.036274466663599,0.99716979265213
PubMed,GraphSAGEPairNorm,3,83,0.003,0.7534458637237549,0.7560851573944092,2.5323100450122564,5.213423252105713,0.0407298691570758,0.9982587695121764
PubMed,GraphSAGE,3,11,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0000579357147217,0.0078129526227712,0.0
PubMed,GraphSAGE,3,29,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,3,47,0.003,0.39936748147010803,0.3995943069458008,1.7993879632525439e-28,1.0,0.0078125,1.1920928955078125e-07
