dataset,model,graph_seed,init_seed,lr,best_epoch,best_val,test_best,source
Roman-Empire,GraphSAGEPairNorm,3,83,0.003,2211,0.46072375774383545,0.4656076431274414,lr_sensitivity
Roman-Empire,GraphSAGE,3,11,0.003,2094,0.46910855174064636,0.4628043472766876,lr_sensitivity
Roman-Empire,GraphSAGE,3,29,0.003,2276,0.45984113216400146,0.4739656448364258,lr_sensitivity
Roman-Empire,GraphSAGE,3,47,0.003,1732,0.45101499557495117,0.4484763443470001,lr_sensitivity
Roman-Empire,GraphSAGE,3,65,0.003,2386,0.43424537777900696,0.4435446262359619,lr_sensitivity
Roman-Empire,GraphSAGE,3,83,0.003,2294,0.41835835576057434,0.4251154959201813,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,11,0.03,482,0.6240070462226868,0.6198411583900452,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,29,0.03,2335,0.6275374889373779,0.6172454953193665,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,47,0.03,983,0.6213592290878296,0.612625241279602,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,65,0.03,1259,0.6151809692382812,0.6084721684455872,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,83,0.03,1495,0.6266549229621887,0.622177243232727,lr_sensitivity
Roman-Empire,GraphSAGE,3,11,0.03,371,0.43733450770378113,0.42958003282546997,lr_sensitivity
Roman-Empire,GraphSAGE,3,29,0.03,24,0.14165931940078735,0.13990551233291626,lr_sensitivity
Roman-Empire,GraphSAGE,3,47,0.03,11,0.1456310749053955,0.13559673726558685,lr_sensitivity
Roman-Empire,GraphSAGE,3,65,0.03,965,0.45057371258735657,0.4422987103462219,lr_sensitivity
Roman-Empire,GraphSAGE,3,83,0.03,1552,0.4307149052619934,0.4287494122982025,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,4,11,0.001,1781,0.3623124361038208,0.36053574085235596,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,4,29,0.001,216,0.3773168623447418,0.36982816457748413,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,4,47,0.001,265,0.3698146641254425,0.3718527853488922,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,4,65,0.001,1668,0.3605472147464752,0.34298914670944214,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,4,83,0.001,1706,0.35657545924186707,0.34314489364624023,lr_sensitivity
Roman-Empire,GraphSAGE,4,11,0.001,156,0.41129744052886963,0.40154701471328735,lr_sensitivity
Roman-Empire,GraphSAGE,4,29,0.001,2034,0.42674314975738525,0.41603073477745056,lr_sensitivity
Roman-Empire,GraphSAGE,4,47,0.001,2365,0.4223301112651825,0.39464259147644043,lr_sensitivity
Roman-Empire,GraphSAGE,4,65,0.001,185,0.4130626618862152,0.40637490153312683,lr_sensitivity
Roman-Empire,GraphSAGE,4,83,0.001,2337,0.4201235771179199,0.38971084356307983,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,4,11,0.003,2367,0.4721977114677429,0.44442713260650635,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,4,29,0.003,1447,0.4567520022392273,0.4332658350467682,lr_sensitivity
