dataset,h,feature_signal,variant,model,graph_seed,init_seed,lr,test_acc,epoch,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
cSBM,0.1,0.5,full,GraphSAGEPairNorm,3,65,0.03,0.9982352256774902,200,3.4928668705021564,2.551832914352417,0.0199361946433782,0.9968560338020324,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,3,83,0.03,0.994705855846405,200,3.5994035410236616,1.9855380058288572,0.0155120156705379,1.0002517700195312,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,4,11,0.03,0.9999999403953552,200,3.5951270804689286,1.9379674196243288,0.015140370465815,0.999382495880127,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,4,29,0.03,0.9994117021560669,200,3.639193808526157,1.5748199224472046,0.0123032806441187,1.000466227531433,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,4,47,0.03,0.9999999403953552,200,3.590295808328982,1.9162476062774656,0.0149706844240427,0.9997421503067015,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,4,65,0.03,0.9999999403953552,200,3.616798235363575,2.240731000900269,0.0175057109445333,1.0002720355987549,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,4,83,0.03,0.9994117021560669,200,3.612064517232687,1.8603005409240725,0.0145335979759693,1.0003310441970823,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,5,11,0.03,0.9988234639167786,200,3.604863068976329,1.6213873624801636,0.0126670887693762,1.0003337860107422,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,5,29,0.03,0.9999999403953552,200,3.605957783387957,2.1383371353149414,0.0167057588696479,1.000393986701965,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,5,47,0.03,0.9994117021560669,200,3.5977866198805453,1.6693953275680542,0.0130421509966254,1.000350832939148,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,5,65,0.03,0.9999999403953552,200,3.6000792506285637,1.9573601484298704,0.0152918761596083,1.0001473426818848,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,5,83,0.03,0.9999999403953552,200,3.611841008842776,1.7143813371658323,0.013393604196608,1.000368356704712,csbm_l8_pairnorm_lr_sensitivity_fs050
