dataset,model,depth,graph_seed,seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-REP,GraphSAGE,2,5,5,0,1721,0.917575478553772,0.9148072600364685,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGE,3,1,1,0,1666,0.9317778944969177,0.9175963401794434,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGE,3,2,2,0,1541,0.9282272458076477,0.921146035194397,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGE,3,3,3,0,2322,0.9229013919830322,0.9249492883682251,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGE,3,4,4,0,572,0.9350748658180237,0.9264705777168274,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGE,3,5,5,0,902,0.9312706589698792,0.9241886138916016,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGE,4,1,1,0,1780,0.9350748658180237,0.915567934513092,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGE,4,2,2,0,272,0.9259447455406189,0.921146035194397,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGE,4,3,3,0,1667,0.9254375100135803,0.9249492883682251,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGE,4,4,4,0,1700,0.9358357191085815,0.9310344457626343,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGE,4,5,5,0,1730,0.9358357191085815,0.9274847507476807,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGE,5,1,1,0,1013,0.9332995414733887,0.9170892238616943,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGE,5,2,2,0,233,0.9274664521217346,0.9183569550514221,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGE,5,3,3,0,1056,0.9267055988311768,0.9231744408607483,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGE,5,4,4,0,589,0.9332995414733887,0.9297667145729065,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGE,5,5,5,0,1289,0.9315242767333984,0.9267241358757019,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGE,6,1,1,0,2306,0.9330459237098694,0.9125253558158875,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGE,6,2,2,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGE,6,3,3,0,1415,0.9234086275100708,0.9191176295280457,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGE,6,4,4,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGE,6,5,5,0,747,0.9256911277770996,0.9175963401794434,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGE,7,1,1,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGE,7,2,2,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGE,7,3,3,0,2,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGE,7,4,4,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGE,7,5,5,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGE,8,1,1,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGE,8,2,2,0,2,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGE,8,3,3,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGE,8,4,4,0,2,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGE,8,5,5,0,1,0.39944207668304443,0.39934074878692627,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.5-REP,GCNPairNorm,2,1,1,0,112,0.7595739364624023,0.7563387155532837,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed1.pt
RW-PubMed-H0.5-REP,GCNPairNorm,2,2,2,0,96,0.7613492608070374,0.7570993900299072,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed2.pt
RW-PubMed-H0.5-REP,GCNPairNorm,2,3,3,0,120,0.7626173496246338,0.7606490850448608,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed3.pt
RW-PubMed-H0.5-REP,GCNPairNorm,2,4,4,0,117,0.7605884075164795,0.7631845474243164,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed4.pt
RW-PubMed-H0.5-REP,GCNPairNorm,2,5,5,0,48,0.7737763524055481,0.7568458318710327,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed5.pt
RW-PubMed-H0.5-REP,GCNPairNorm,3,1,1,0,33,0.728125810623169,0.7213488817214966,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed1.pt
RW-PubMed-H0.5-REP,GCNPairNorm,3,2,2,0,41,0.7187420725822449,0.7223630547523499,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed2.pt
RW-PubMed-H0.5-REP,GCNPairNorm,3,3,3,0,39,0.7255896925926208,0.7238843441009521,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed3.pt
RW-PubMed-H0.5-REP,GCNPairNorm,3,4,4,0,33,0.7301547527313232,0.7297160029411316,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed4.pt
RW-PubMed-H0.5-REP,GCNPairNorm,3,5,5,0,31,0.7326908707618713,0.720588207244873,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed5.pt
RW-PubMed-H0.5-REP,GCNPairNorm,4,1,1,0,32,0.7085975408554077,0.7056288123130798,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h05_seed1.pt
