dataset,model,depth,seed,best_epoch,best_val,test_best,target_h,realized_h
RW-PubMed-H0.9-LOW,GCN,8,2,1092,0.9031440019607544,0.8948027491569519,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,8,3,2088,0.5390466451644897,0.5376812219619751,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,8,4,2254,0.9092291593551636,0.8965928554534912,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,8,5,753,0.8990871906280518,0.8973685503005981,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,2,1,39,0.8924949169158936,0.8786920309066772,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,2,2,501,0.8843812942504883,0.8702786564826965,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,2,3,74,0.8884381055831909,0.8772003054618835,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,2,4,22,0.8767748475074768,0.8755891919136047,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,2,5,2244,0.8808315992355347,0.870815634727478,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,4,1,401,0.900608479976654,0.8817351460456848,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,4,2,520,0.8945233225822449,0.8807207942008972,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,4,3,1983,0.8955374956130981,0.8768422603607178,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,4,4,11,0.8955374956130981,0.8893131613731384,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,4,5,626,0.8793103098869324,0.8700996041297913,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,1,14,0.9026368856430054,0.8912225961685181,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,2,1297,0.9001014232635498,0.8831075429916382,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,3,2187,0.9016227126121521,0.880183756351471,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,4,13,0.8995943069458008,0.8957574963569641,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,5,10,0.8869168162345886,0.8888955116271973,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,1,1572,0.9021297693252563,0.8839429616928101,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,2,642,0.9011155962944031,0.8837639093399048,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,3,697,0.8955374956130981,0.8813771605491638,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,4,10,0.8970587849617004,0.8946237564086914,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,5,17,0.8859026432037354,0.8845396041870117,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,2,1,146,0.9021297693252563,0.8882391452789307,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,2,2,52,0.8995943069458008,0.8861507177352905,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,2,3,570,0.8945233225822449,0.8814964890480042,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,2,4,62,0.8869168162345886,0.8891938328742981,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,2,5,62,0.8843812942504883,0.8878811001777649,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,4,1,1816,0.9092291593551636,0.8868070840835571,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,4,2,119,0.90567946434021,0.8899098634719849,0.9,0.8999864459037781
