model,distance,width,graph_seed,init_seed,layers,best_epoch,test_acc,matched_influence,distractor_influence,specificity
GraphSAGERewired,2,4,2,29,2,2,1.0,0.08843020058702677,0.0032810428692755522,0.96422420254499
GraphSAGERewired,2,4,2,47,2,2,1.0,0.04678145009165746,0.0022235689973513217,0.9546256885592221
GraphSAGERewired,2,4,3,11,2,2,1.0,0.04547007464498165,0.0014689788656596647,0.9687045486271822
GraphSAGERewired,2,4,3,29,2,1,0.9996744791666666,0.02636971534229815,0.0016787272188594216,0.9401490041331447
GraphSAGERewired,2,4,3,47,2,2,1.0,0.04643870003928896,0.0021895402883274073,0.9549738942941162
GraphSAGERewired,2,4,4,11,2,2,1.0,0.043352754968509544,0.0014565834740096761,0.967493751847159
GraphSAGERewired,2,4,4,29,2,2,1.0,0.08765268523711711,0.002954430820864218,0.9673929493579619
GraphSAGERewired,2,4,4,47,2,2,1.0,0.044044172784197144,0.0020789131926903792,0.9549268408734173
GraphSAGERewired,2,4,5,11,2,2,1.0,0.04386184977920493,0.0017043647303580656,0.9625958673621448
GraphSAGERewired,2,4,5,29,2,2,1.0,0.08602098398841918,0.0031366904768219683,0.9648186149246226
GraphSAGERewired,2,4,5,47,2,2,1.0,0.04349591876962222,0.002143053075769785,0.9530433532993973
GraphSAGE,2,8,1,11,2,3,0.7119140625,0.030560780471205362,0.03156122537620831,0.49194774144572717
GraphSAGE,2,8,1,29,2,87,0.99609375,3.8388572153635323,1.0811688656103797,0.780251395456598
GraphSAGE,2,8,1,47,2,126,0.98828125,5.714072609320283,2.046151684364304,0.7363282803526393
GraphSAGE,2,8,2,11,2,82,1.0,3.325649617239833,1.182988079963252,0.737617400329627
GraphSAGE,2,8,2,29,2,2,0.69921875,0.019529278222762514,0.01964663442413439,0.4985021892989878
GraphSAGE,2,8,2,47,2,57,0.6920572916666666,0.1653302056947723,0.1617290781578049,0.5055053131247906
GraphSAGE,2,8,3,11,2,140,0.9954427083333334,5.8185243885964155,1.764492784976028,0.7673099315762827
GraphSAGE,2,8,3,29,2,86,1.0,4.072841493412852,1.4537956728599966,0.7369475091050405
GraphSAGE,2,8,3,47,2,2,0.6985677083333334,0.012204781516629737,0.009409679423697526,0.564658149456504
GraphSAGE,2,8,4,11,2,172,1.0,4.84534996189177,2.2802460766397417,0.6799922330272389
GraphSAGE,2,8,4,29,2,145,1.0,5.947114959359169,1.8096412913873792,0.7667012817098672
GraphSAGE,2,8,4,47,2,164,1.0,4.995425425935537,1.9939170009456575,0.7147203729384162
GraphSAGE,2,8,5,11,2,125,1.0,5.250084126368165,2.062519221799448,0.7179500755613949
GraphSAGE,2,8,5,29,2,162,1.0,5.678044487838633,2.023229378508404,0.7372864004550945
GraphSAGE,2,8,5,47,2,22,0.69140625,0.15311229275539517,0.15318723628297448,0.49987766300389963
GraphSAGERewired,2,8,1,11,2,2,1.0,0.04998268136114348,0.003389755001649064,0.9364886590609409
GraphSAGERewired,2,8,1,29,2,2,1.0,0.0910347003955394,0.006693545075904694,0.9315085925819466
GraphSAGERewired,2,8,1,47,2,2,1.0,0.04857087847631192,0.0048758369839561055,0.9087719994975267
GraphSAGERewired,2,8,2,11,2,2,1.0,0.044131725444458425,0.0030033726052351994,0.9362816090250818
GraphSAGERewired,2,8,2,29,2,2,1.0,0.0896451307926327,0.007302882282601786,0.924672182008937
GraphSAGERewired,2,8,2,47,2,2,1.0,0.048307642980944365,0.004681874386733398,0.9116452721175214
GraphSAGERewired,2,8,3,11,2,2,1.0,0.046715563235920854,0.003424552613068954,0.9317003450028996
GraphSAGERewired,2,8,3,29,2,2,1.0,0.08671028431854211,0.007222422740596812,0.9231106718028176
GraphSAGERewired,2,8,3,47,2,2,1.0,0.04786924261134118,0.004399539938276575,0.9158285361818786
GraphSAGERewired,2,8,4,11,2,2,1.0,0.045064344889397034,0.0032191163304560177,0.933328799343289
GraphSAGERewired,2,8,4,29,2,2,1.0,0.08985744707752019,0.0065731715549190994,0.9318352236139267
GraphSAGERewired,2,8,4,47,2,2,1.0,0.045200452899734955,0.004673260618801578,0.9062981219962503
GraphSAGERewired,2,8,5,11,2,2,1.0,0.04599099711276722,0.003346173628415272,0.9321774317603027
GraphSAGERewired,2,8,5,29,2,2,1.0,0.09140509058488533,0.006672032137430506,0.9319715754992843
GraphSAGERewired,2,8,5,47,2,2,1.0,0.04535267484607175,0.004785582137628808,0.904552283497029
GraphSAGE,4,1,1,11,4,118,0.6077473958333334,0.10388558495469624,0.0626029488594213,0.6239804181954012
GraphSAGE,4,1,1,29,4,200,0.6253255208333334,0.20958264023647644,0.08280133998778183,0.7168061672702107
GraphSAGE,4,1,1,47,4,131,0.6126302083333334,0.11810429231263697,0.0763844496323145,0.6072551610491584
GraphSAGE,4,1,2,11,4,9,0.5638020833333334,0.01144998071140435,0.011071186847402714,0.5084097296908723
GraphSAGE,4,1,2,29,4,61,0.5823567708333334,0.06095724418264581,0.038470902745757485,0.6130783491914731
GraphSAGE,4,1,2,47,4,90,0.5830078125,0.07825011689419625,0.04551822241774062,0.6322304825982032
GraphSAGE,4,1,3,11,4,76,0.6025390625,0.05924599073478021,0.049714088625478325,0.5437403412524083
